-5.55112e-20,4.68375e-20,0,-9.36751e-23,-1.11022e-22,-0.00710256,-3.46945e-19,4.81482e-35,0,-9.40395e-38,-6.93889e-22,-0.00416761,-9.81
-5.89806e-20,4.68375e-20,0,-9.36751e-23,-1.17961e-22,-0.00714424,0,3.46945e-19,0,-6.93889e-22,0,-0.00206146,-9.81
-5.89806e-20,5.0307e-20,0,-1.00614e-22,-1.17961e-22,-0.00716485,0,3.46945e-19,0,-6.93889e-22,0,-0.000146786,-9.81
-5.89806e-20,5.37764e-20,0,-1.07553e-22,-1.17961e-22,-0.00716632,0,1.73472e-19,0,-3.46945e-22,0,0.00159383,-9.81
-5.89806e-20,5.55112e-20,0,-1.11022e-22,-1.17961e-22,-0.00715038,-3.46945e-19,1.73472e-19,0,-3.46945e-22,-6.93889e-22,0.00317621,-9.81
-6.245e-20,5.72459e-20,0,-1.14492e-22,-1.249e-22,-0.00711862,-3.46945e-19,1.73472e-19,0,-3.46945e-22,-6.93889e-22,0.00461474,-9.81
-6.59195e-20,5.89806e-20,0,-1.17961e-22,-1.31839e-22,-0.00707247,-3.46945e-19,1.73472e-19,0,-3.46945e-22,-6.93889e-22,0.00592249,-9.81
-6.93889e-20,6.07153e-20,0,-1.21431e-22,-1.38778e-22,-0.00701325,-3.46945e-19,4.81482e-35,0,-9.40395e-38,-6.93889e-22,0.00711135,-9.81
-7.28584e-20,6.07153e-20,0,-1.21431e-22,-1.45717e-22,-0.00694214,-3.46945e-19,3.46945e-19,0,-6.93889e-22,-6.93889e-22,0.00819214,-9.81
-7.63278e-20,6.41848e-20,0,-1.2837e-22,-1.52656e-22,-0.00686021,-3.46945e-19,1.73472e-19,0,-3.46945e-22,-6.93889e-22,0.00917467,-9.81
-7.97973e-20,6.59195e-20,0,-1.31839e-22,-1.59595e-22,-0.00676847,-6.93889e-19,1.73472e-19,0,-3.46945e-22,-1.38778e-21,0.0100679,-9.81
-8.67362e-20,6.76542e-20,0,-1.35308e-22,-1.73472e-22,-0.00666779,0,1.73472e-19,0,-3.46945e-22,0,0.0108799,-9.81
-8.67362e-20,6.93889e-20,0,-1.38778e-22,-1.73472e-22,-0.00655899,-3.46945e-19,3.46945e-19,0,-6.93889e-22,-6.93889e-22,0.0116181,-9.81
-9.02056e-20,7.28584e-20,0,-1.45717e-22,-1.80411e-22,-0.00644281,-3.46945e-19,3.46945e-19,0,-6.93889e-22,-6.93889e-22,0.0122892,-9.81
-9.36751e-20,7.63278e-20,0,-1.52656e-22,-1.8735e-22,-0.00631992,-3.46945e-19,3.46945e-19,0,-6.93889e-22,-6.93889e-22,0.0128992,-9.81
